[Log] 0.16567361860433835 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1680505068725983 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1745483923620391 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16665199807731335 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15490052734915957 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.17226933083018206 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16039316633956902 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1552358810624413 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15483464129205446 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15752341019382385 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15503852434336748 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15688301702281549 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16555362072117588 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14729169167844486 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15355084085099052 (Obstacle-grid-c100o9.html, line 125)
[Log] 2.771618013242129 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1481663051162038 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1600192197099522 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15815242023275175 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.17022341221724377 (Obstacle-grid-c100o9.html, line 125)
[Log] 2.7562690069300992 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1495965614652514 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15857998856535185 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1496922915034261 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16092156413273256 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16468708713136054 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.148357023450801 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.17475550053702338 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1625143596017232 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.157975567249169 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1705715091160732 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.18542679730611591 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 2.7440838143916557 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16090816061364346 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16721445661577541 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.17065461469734167 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15902213827922415 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16385083827528696 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15966833624943488 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1671912536649491 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.168712842949317 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.17039660365772913 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16440122682887412 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1794491133483125 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16432175224152137 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16513670810551387 (Obstacle-grid-c100o9.html, line 125)
[Log] 2.774110043590673 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.17442018686885663 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1560993432960305 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.17711849552812842 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15754131608668365 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15442951216013814 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.17212027540929323 (Obstacle-grid-c100o9.html, line 125)
[Log] 2.7649629764105037 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1698887378385315 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16906300175119823 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16144285578232023 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16475501380972937 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1563571586481596 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1632447035650552 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.17700280584073821 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16986593787059276 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15761933832010913 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16475639139225498 (Obstacle-grid-c100o9.html, line 125)
