[Log] 0.17756958716717688 (Obstacle-start-circular.html, line 124)
[Log] 0.16659087333742528 (Obstacle-start-circular.html, line 124)
[Log] 0.13769586548696744 (Obstacle-start-circular.html, line 124)
[Log] 0.15392148444715784 (Obstacle-start-circular.html, line 124)
[Log] 0.177274798307811 (Obstacle-start-circular.html, line 124)
[Log] 0.12729149606306991 (Obstacle-start-circular.html, line 124)
[Log] 0.21732855182357028 (Obstacle-start-circular.html, line 124)
[Log] 0.17257888212539335 (Obstacle-start-circular.html, line 124)
[Log] 0.15186790026212832 (Obstacle-start-circular.html, line 124)
[Log] 0.12187684399614565 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.14394179075381214 (Obstacle-start-circular.html, line 124)
[Log] 0.16744112511776352 (Obstacle-start-circular.html, line 124)
[Log] 0.09598854508471617 (Obstacle-start-circular.html, line 124)
[Log] 0.16463776746860473 (Obstacle-start-circular.html, line 124)
[Log] 0.13436069078091228 (Obstacle-start-circular.html, line 124)
[Log] 0.12871239840009374 (Obstacle-start-circular.html, line 124)
[Log] 0.21928477407219749 (Obstacle-start-circular.html, line 124)
[Log] 0.13757198905545023 (Obstacle-start-circular.html, line 124)
[Log] 0.14893592149301074 (Obstacle-start-circular.html, line 124)
[Log] 0.1281977827658634 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.19201120331214172 (Obstacle-start-circular.html, line 124)
[Log] 0.18564438378746212 (Obstacle-start-circular.html, line 124)
[Log] 0.15926765050985564 (Obstacle-start-circular.html, line 124)
[Log] 0.18120279568455927 (Obstacle-start-circular.html, line 124)
[Log] 50.121881994226584 (Obstacle-start-circular.html, line 124)
[Log] 0.16110825452448446 (Obstacle-start-circular.html, line 124)
[Log] 0.13866264979330484 (Obstacle-start-circular.html, line 124)
[Log] 0.20086212287093233 (Obstacle-start-circular.html, line 124)
[Log] 0.18999889562611222 (Obstacle-start-circular.html, line 124)
[Log] 0.26356609094332983 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.17302671856207028 (Obstacle-start-circular.html, line 124)
[Log] 0.16661988984139833 (Obstacle-start-circular.html, line 124)
[Log] 0.13720178224371787 (Obstacle-start-circular.html, line 124)
[Log] 0.12697055279217395 (Obstacle-start-circular.html, line 124)
[Log] 0.14630933220492287 (Obstacle-start-circular.html, line 124)
[Log] 0.15526987307107842 (Obstacle-start-circular.html, line 124)
[Log] 0.14640047366397102 (Obstacle-start-circular.html, line 124)
[Log] 0.16519396263510466 (Obstacle-start-circular.html, line 124)
[Log] 0.15548742889789274 (Obstacle-start-circular.html, line 124)
[Log] 0.18051353245097965 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.1351050869843376 (Obstacle-start-circular.html, line 124)
[Log] 0.16826138738960122 (Obstacle-start-circular.html, line 124)
[Log] 0.1322746914743214 (Obstacle-start-circular.html, line 124)
[Log] 0.1480958033598438 (Obstacle-start-circular.html, line 124)
[Log] 0.09133411218887409 (Obstacle-start-circular.html, line 124)
[Log] 0.12404135059330898 (Obstacle-start-circular.html, line 124)
[Log] 0.1406804251787518 (Obstacle-start-circular.html, line 124)
[Log] 0.21111033931088036 (Obstacle-start-circular.html, line 124)
[Log] 0.1503630823294485 (Obstacle-start-circular.html, line 124)
[Log] 0.14127271198119346 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.16720357146050152 (Obstacle-start-circular.html, line 124)
[Log] 0.18330014962157465 (Obstacle-start-circular.html, line 124)
[Log] 0.16181099471660573 (Obstacle-start-circular.html, line 124)
[Log] 0.1588884958745699 (Obstacle-start-circular.html, line 124)
[Log] 0.12110101897290595 (Obstacle-start-circular.html, line 124)
[Log] 0.15895734403919212 (Obstacle-start-circular.html, line 124)
[Log] 0.218406160981412 (Obstacle-start-circular.html, line 124)
[Log] 0.1511385889200922 (Obstacle-start-circular.html, line 124)
[Log] 0.11734797724302486 (Obstacle-start-circular.html, line 124)
[Log] 0.13684068919835932 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.14861052672471114 (Obstacle-start-circular.html, line 124)
[Log] 0.163070996185243 (Obstacle-start-circular.html, line 124)
[Log] 0.16443062121859167 (Obstacle-start-circular.html, line 124)
[Log] 0.1603720575691428 (Obstacle-start-circular.html, line 124)
[Log] 0.08893754159295723 (Obstacle-start-circular.html, line 124)
[Log] 0.1288028742132278 (Obstacle-start-circular.html, line 124)
[Log] 0.14253811852508813 (Obstacle-start-circular.html, line 124)
[Log] 0.19751562924816382 (Obstacle-start-circular.html, line 124)
[Log] 0.1606555468997722 (Obstacle-start-circular.html, line 124)
[Log] 0.10973607072372586 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.13967166956020455 (Obstacle-start-circular.html, line 124)
[Log] 0.22279611292315157 (Obstacle-start-circular.html, line 124)
[Log] 0.18492254540165237 (Obstacle-start-circular.html, line 124)
[Log] 0.14789831538147852 (Obstacle-start-circular.html, line 124)
[Log] 0.1286327572270149 (Obstacle-start-circular.html, line 124)
[Log] 0.1616203098092241 (Obstacle-start-circular.html, line 124)
[Log] 0.1142998452165023 (Obstacle-start-circular.html, line 124)
[Log] 0.12239533639749438 (Obstacle-start-circular.html, line 124)
[Log] 0.10918193595470778 (Obstacle-start-circular.html, line 124)
[Log] 0.18244861705009757 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.1346138029385192 (Obstacle-start-circular.html, line 124)
[Log] 0.12256966735052525 (Obstacle-start-circular.html, line 124)
[Log] 0.12281511955734614 (Obstacle-start-circular.html, line 124)
[Log] 0.1292783367821348 (Obstacle-start-circular.html, line 124)
[Log] 0.13818616391822683 (Obstacle-start-circular.html, line 124)
[Log] 0.18455923409012964 (Obstacle-start-circular.html, line 124)
[Log] 0.16728976871032397 (Obstacle-start-circular.html, line 124)
[Log] 0.15319184370447222 (Obstacle-start-circular.html, line 124)
[Log] 0.1341076073838165 (Obstacle-start-circular.html, line 124)
[Log] 0.12370375012143116 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.11756556861374239 (Obstacle-start-circular.html, line 124)
[Log] 0.0938350325392788 (Obstacle-start-circular.html, line 124)
[Log] 0.1865524130328075 (Obstacle-start-circular.html, line 124)
[Log] 0.1522474034356714 (Obstacle-start-circular.html, line 124)
[Log] 0.13606252313872053 (Obstacle-start-circular.html, line 124)
[Log] 0.14065200457458218 (Obstacle-start-circular.html, line 124)
[Log] 0.13001565543404245 (Obstacle-start-circular.html, line 124)
[Log] 0.15173363634326684 (Obstacle-start-circular.html, line 124)
[Log] 0.16893150627620881 (Obstacle-start-circular.html, line 124)
[Log] 0.1950149964652917 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.14033628624050049 (Obstacle-start-circular.html, line 124)
[Log] 0.16530762155426787 (Obstacle-start-circular.html, line 124)
[Log] 0.14477639050057756 (Obstacle-start-circular.html, line 124)
[Log] 0.13817320430789864 (Obstacle-start-circular.html, line 124)
[Log] 0.17204899248141192 (Obstacle-start-circular.html, line 124)
[Log] 0.18867117507582445 (Obstacle-start-circular.html, line 124)
[Log] 0.13729344137023597 (Obstacle-start-circular.html, line 124)
[Log] 0.17504443221522945 (Obstacle-start-circular.html, line 124)
[Log] 0.13331191340589835 (Obstacle-start-circular.html, line 124)
[Log] 0.1320715191361269 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.1436069249236808 (Obstacle-start-circular.html, line 124)
[Log] 0.10667203719690485 (Obstacle-start-circular.html, line 124)
[Log] 0.18139065048870717 (Obstacle-start-circular.html, line 124)
[Log] 0.13418036125037908 (Obstacle-start-circular.html, line 124)
[Log] 0.12515555991398755 (Obstacle-start-circular.html, line 124)
[Log] 0.1732086536216552 (Obstacle-start-circular.html, line 124)
[Log] 0.16263501374280437 (Obstacle-start-circular.html, line 124)
[Log] 0.13348039861522465 (Obstacle-start-circular.html, line 124)
[Log] 0.128319959341421 (Obstacle-start-circular.html, line 124)
[Log] 0.16026350658524255 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 50.0657644845398 (Obstacle-start-circular.html, line 124)
[Log] 0.23210943215605964 (Obstacle-start-circular.html, line 124)
[Log] 0.14632173576766602 (Obstacle-start-circular.html, line 124)
[Log] 0.12575283044685653 (Obstacle-start-circular.html, line 124)
[Log] 0.1428519524675517 (Obstacle-start-circular.html, line 124)
[Log] 0.18669240800696865 (Obstacle-start-circular.html, line 124)
[Log] 0.17463149162778888 (Obstacle-start-circular.html, line 124)
[Log] 0.10728625709559383 (Obstacle-start-circular.html, line 124)
[Log] 0.151199491543523 (Obstacle-start-circular.html, line 124)
[Log] 0.13039399478934655 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.1337225377975062 (Obstacle-start-circular.html, line 124)
[Log] 0.15377947257612118 (Obstacle-start-circular.html, line 124)
[Log] 0.11473279012875678 (Obstacle-start-circular.html, line 124)
[Log] 0.11713714357184116 (Obstacle-start-circular.html, line 124)
[Log] 0.14099591797545696 (Obstacle-start-circular.html, line 124)
[Log] 0.18965969960872506 (Obstacle-start-circular.html, line 124)
[Log] 0.14134492715744645 (Obstacle-start-circular.html, line 124)
[Log] 0.10866883802812319 (Obstacle-start-circular.html, line 124)
[Log] 0.14765872144468045 (Obstacle-start-circular.html, line 124)
[Log] 0.10066400792519004 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.11490181012927114 (Obstacle-start-circular.html, line 124)
[Log] 0.16135151313543306 (Obstacle-start-circular.html, line 124)
[Log] 0.17808878043359322 (Obstacle-start-circular.html, line 124)
[Log] 0.15517533726247343 (Obstacle-start-circular.html, line 124)
[Log] 0.13040030276393816 (Obstacle-start-circular.html, line 124)
[Log] 0.13811519263861927 (Obstacle-start-circular.html, line 124)
[Log] 0.14576707543176814 (Obstacle-start-circular.html, line 124)
[Log] 0.16838237887559698 (Obstacle-start-circular.html, line 124)
[Log] 0.11256778719442184 (Obstacle-start-circular.html, line 124)
[Log] 0.0930757755115825 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.1411984504471211 (Obstacle-start-circular.html, line 124)
[Log] 0.12438179935205285 (Obstacle-start-circular.html, line 124)
[Log] 0.11509548825759448 (Obstacle-start-circular.html, line 124)
[Log] 0.19354091167777226 (Obstacle-start-circular.html, line 124)
[Log] 0.1385213632678195 (Obstacle-start-circular.html, line 124)
[Log] 0.14023021709316896 (Obstacle-start-circular.html, line 124)
[Log] 0.1272424427539634 (Obstacle-start-circular.html, line 124)
[Log] 0.11716871492477927 (Obstacle-start-circular.html, line 124)
[Log] 0.16117743621388134 (Obstacle-start-circular.html, line 124)
[Log] 0.11332973751093714 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.17932424291990104 (Obstacle-start-circular.html, line 124)
[Log] 0.14306365439000363 (Obstacle-start-circular.html, line 124)
[Log] 0.1582743160443059 (Obstacle-start-circular.html, line 124)
[Log] 0.06521850399730303 (Obstacle-start-circular.html, line 124)
[Log] 0.12096986265565617 (Obstacle-start-circular.html, line 124)
[Log] 0.12007160929725505 (Obstacle-start-circular.html, line 124)
[Log] 0.1105757983129801 (Obstacle-start-circular.html, line 124)
[Log] 0.13707871692429485 (Obstacle-start-circular.html, line 124)
[Log] 0.15602679257990085 (Obstacle-start-circular.html, line 124)
[Log] 0.13264830156255472 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.18332647844684513 (Obstacle-start-circular.html, line 124)
[Log] 0.11261911867987565 (Obstacle-start-circular.html, line 124)
[Log] 0.15528414811989635 (Obstacle-start-circular.html, line 124)
[Log] 0.11670686555096177 (Obstacle-start-circular.html, line 124)
[Log] 0.16214573854552014 (Obstacle-start-circular.html, line 124)
[Log] 0.1252385017061998 (Obstacle-start-circular.html, line 124)
[Log] 0.2102544892286807 (Obstacle-start-circular.html, line 124)
[Log] 0.14889279253257404 (Obstacle-start-circular.html, line 124)
[Log] 0.15414099483483637 (Obstacle-start-circular.html, line 124)
[Log] 0.12083063925739675 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.10443512631890631 (Obstacle-start-circular.html, line 124)
[Log] 0.1664030602601068 (Obstacle-start-circular.html, line 124)
[Log] 0.1455567544549096 (Obstacle-start-circular.html, line 124)
[Log] 0.10328761354345314 (Obstacle-start-circular.html, line 124)
[Log] 0.18365891257743777 (Obstacle-start-circular.html, line 124)
[Log] 0.14579327193527453 (Obstacle-start-circular.html, line 124)
