[Log] 0.11216215243634324 (Obstacle-start.html, line 124)
[Log] 0.07988797161282171 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.10701806101930036 (Obstacle-start.html, line 124)
[Log] 0.07621563424822364 (Obstacle-start.html, line 124)
[Log] 0.09445701529453021 (Obstacle-start.html, line 124)
[Log] 0.07703484050699569 (Obstacle-start.html, line 124)
[Log] 0.10328507260878188 (Obstacle-start.html, line 124)
[Log] 0.14741376405621173 (Obstacle-start.html, line 124)
[Log] 0.08529199795666195 (Obstacle-start.html, line 124)
[Log] 0.10317741856570797 (Obstacle-start.html, line 124)
[Log] 0.11679616209174074 (Obstacle-start.html, line 124)
[Log] 0.09443747540863405 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.2020721887207456 (Obstacle-start.html, line 124)
[Log] 0.09636832977982637 (Obstacle-start.html, line 124)
[Log] 0.08916221831225009 (Obstacle-start.html, line 124)
[Log] 0.10199786242067836 (Obstacle-start.html, line 124)
[Log] 0.10540611125211088 (Obstacle-start.html, line 124)
[Log] 0.1310132851995875 (Obstacle-start.html, line 124)
[Log] 0.14426535037956895 (Obstacle-start.html, line 124)
[Log] 0.12364858241037427 (Obstacle-start.html, line 124)
[Log] 0.13858962219253806 (Obstacle-start.html, line 124)
[Log] 0.1385333491638709 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.11151497226458637 (Obstacle-start.html, line 124)
[Log] 0.1182623952186402 (Obstacle-start.html, line 124)
[Log] 0.10904368947098449 (Obstacle-start.html, line 124)
[Log] 0.08725813738516784 (Obstacle-start.html, line 124)
[Log] 0.12237627288246018 (Obstacle-start.html, line 124)
[Log] 0.15140852857580778 (Obstacle-start.html, line 124)
[Log] 0.11366674046479193 (Obstacle-start.html, line 124)
[Log] 0.12708849810559592 (Obstacle-start.html, line 124)
[Log] 0.09763217407202335 (Obstacle-start.html, line 124)
[Log] 0.10444546181948751 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.13498595920072312 (Obstacle-start.html, line 124)
[Log] 0.11717247793152748 (Obstacle-start.html, line 124)
[Log] 0.12332034644323546 (Obstacle-start.html, line 124)
[Log] 0.1661897772414611 (Obstacle-start.html, line 124)
[Log] 0.1602828106435382 (Obstacle-start.html, line 124)
[Log] 0.1658585090159035 (Obstacle-start.html, line 124)
[Log] 0.12969534149503065 (Obstacle-start.html, line 124)
[Log] 0.1151311424164195 (Obstacle-start.html, line 124)
[Log] 0.11633479974863467 (Obstacle-start.html, line 124)
[Log] 0.1006077191501373 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.1063053583527918 (Obstacle-start.html, line 124)
[Log] 0.1267520978041778 (Obstacle-start.html, line 124)
[Log] 0.09770352351273696 (Obstacle-start.html, line 124)
[Log] 0.1268293106832335 (Obstacle-start.html, line 124)
[Log] 0.15753574515568594 (Obstacle-start.html, line 124)
[Log] 0.10964771268970426 (Obstacle-start.html, line 124)
[Log] 0.08396804668591469 (Obstacle-start.html, line 124)
[Log] 0.1624179953229722 (Obstacle-start.html, line 124)
[Log] 0.1273993006357189 (Obstacle-start.html, line 124)
[Log] 0.12847406492135913 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.13706686377627025 (Obstacle-start.html, line 124)
[Log] 0.13440887788559802 (Obstacle-start.html, line 124)
[Log] 0.09286428988250897 (Obstacle-start.html, line 124)
[Log] 0.0950663439418863 (Obstacle-start.html, line 124)
[Log] 0.12546616935612187 (Obstacle-start.html, line 124)
[Log] 0.18258663673625955 (Obstacle-start.html, line 124)
[Log] 0.07843520527175799 (Obstacle-start.html, line 124)
[Log] 0.11877795138078691 (Obstacle-start.html, line 124)
[Log] 0.07037049677921443 (Obstacle-start.html, line 124)
[Log] 0.15299491210689403 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.10717077112663471 (Obstacle-start.html, line 124)
[Log] 0.16686060760389382 (Obstacle-start.html, line 124)
[Log] 0.16571085849660033 (Obstacle-start.html, line 124)
[Log] 0.11919562105500173 (Obstacle-start.html, line 124)
[Log] 0.15134027620486373 (Obstacle-start.html, line 124)
[Log] 0.11455603328846128 (Obstacle-start.html, line 124)
[Log] 0.1698707196538442 (Obstacle-start.html, line 124)
[Log] 0.11037872427174175 (Obstacle-start.html, line 124)
[Log] 0.06783886024953797 (Obstacle-start.html, line 124)
[Log] 0.16303938101469212 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.1255742050038027 (Obstacle-start.html, line 124)
[Log] 0.10618376519650927 (Obstacle-start.html, line 124)
[Log] 0.09535780509468894 (Obstacle-start.html, line 124)
[Log] 0.12355355186117974 (Obstacle-start.html, line 124)
[Log] 0.1301431327051037 (Obstacle-start.html, line 124)
[Log] 0.0919744393852209 (Obstacle-start.html, line 124)
[Log] 0.12784305475800364 (Obstacle-start.html, line 124)
[Log] 0.08476205971247804 (Obstacle-start.html, line 124)
[Log] 0.1407293014909044 (Obstacle-start.html, line 124)
[Log] 0.14819278861723637 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.06220896375227021 (Obstacle-start.html, line 124)
[Log] 0.08905952400762769 (Obstacle-start.html, line 124)
[Log] 0.09414566296538757 (Obstacle-start.html, line 124)
[Log] 0.09533212220484617 (Obstacle-start.html, line 124)
[Log] 0.11662318876068897 (Obstacle-start.html, line 124)
[Log] 0.12313987799323738 (Obstacle-start.html, line 124)
[Log] 0.09203614693785915 (Obstacle-start.html, line 124)
[Log] 0.1059467718062755 (Obstacle-start.html, line 124)
[Log] 0.12993740128498135 (Obstacle-start.html, line 124)
[Log] 0.11393101454231966 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.11283856622503836 (Obstacle-start.html, line 124)
[Log] 0.10606282005526246 (Obstacle-start.html, line 124)
[Log] 0.1650669956176612 (Obstacle-start.html, line 124)
[Log] 0.13266026300144731 (Obstacle-start.html, line 124)
[Log] 0.07038941813225266 (Obstacle-start.html, line 124)
[Log] 0.1353488371029807 (Obstacle-start.html, line 124)
[Log] 0.10998043463979001 (Obstacle-start.html, line 124)
[Log] 0.12773794663147547 (Obstacle-start.html, line 124)
[Log] 0.15408159596270116 (Obstacle-start.html, line 124)
[Log] 0.1088869083956741 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.0893176150881079 (Obstacle-start.html, line 124)
[Log] 0.10465523678228297 (Obstacle-start.html, line 124)
[Log] 0.1403105051148634 (Obstacle-start.html, line 124)
[Log] 0.11934487539771084 (Obstacle-start.html, line 124)
[Log] 0.12254124184498463 (Obstacle-start.html, line 124)
[Log] 0.15182589084655476 (Obstacle-start.html, line 124)
[Log] 0.17188109767121315 (Obstacle-start.html, line 124)
[Log] 0.14062874377172555 (Obstacle-start.html, line 124)
[Log] 0.11579555970842911 (Obstacle-start.html, line 124)
[Log] 0.10468557226272228 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.14199658742762003 (Obstacle-start.html, line 124)
